stateProvince,lat,long,geoCoordinate,scientificName,vernacularName,countryConservation
Victoria,-37.2075,148.778,"[-37.207499999091,148.778]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.6401,148.8325,"[-37.6400999990873,148.8325]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1406,145.2736,"[-38.1405999990833,145.2736]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1358,145.27,"[-38.1357999990833,145.27]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.9521,146.274,"[-37.9520999990847,146.274]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1346,145.2825,"[-38.1345999990833,145.2825]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1353,145.2812,"[-38.1352999990833,145.2812]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1346,145.2825,"[-38.1345999990833,145.2825]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.8226,146.0764,"[-37.8225999990858,146.0764]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1367,145.2709,"[-38.1366999990833,145.2709]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1393,145.2694,"[-38.1392999990833,145.2694]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.6881,149.1235,"[-37.6880999990869,149.1235]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1327,145.2615,"[-38.1326999990833,145.2615]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1396,145.2726,"[-38.1395999990833,145.2726]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1396,145.2726,"[-38.1395999990833,145.2726]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-36.9519,148.2382,"[-36.9518999990933,148.2382]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1393,145.2694,"[-38.1392999990833,145.2694]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.1825,148.7841,"[-37.1824999990912,148.7841]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.5223,148.6241,"[-37.5222999990883,148.6241]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1295,145.2824,"[-38.1294999990834,145.2824]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1367,145.2709,"[-38.1366999990833,145.2709]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.5755,148.9973,"[-37.5754999990878,148.9973]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1393,145.2769,"[-38.1392999990833,145.2769]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.4679,144.0875,"[-38.4678999990808,144.0875]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.7677,146.0023,"[-37.7676999990862,146.0023]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.6657,148.8436,"[-37.6656999990871,148.8436]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-37.2892,148.3144,"[-37.2891999990903,148.3144]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-37.1903,148.8443,"[-37.1902999990911,148.8443]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-37.627,148.8279,"[-37.6269999990874,148.8279]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1295,145.2824,"[-38.1294999990834,145.2824]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1353,145.2812,"[-38.1352999990833,145.2812]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1302,145.2823,"[-38.1301999990833,145.2823]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1399,145.2671,"[-38.1398999990833,145.2671]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.6994,148.8042,"[-37.6993999990868,148.8042]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1376,145.2707,"[-38.1375999990833,145.270699999999]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.5121,145.3416,"[-38.5120999990805,145.3416]",Perameles gunnii,Eastern Barred Bandicoot,Endangered
Victoria,-38.1295,145.2824,"[-38.1294999990834,145.2824]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-38.1308,145.272,"[-38.1307999990833,145.272]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.6582,149.0869,"[-37.6581999990871,149.0869]",Perameles nasuta,Long-nosed bandicoot,Not Listed
Victoria,-38.1302,145.2823,"[-38.1301999990833,145.2823]",Isoodon obesulus,Southern Brown Bandicoot,Endangered
Victoria,-37.3111,148.6364,"[-37.3110999990901,148.6364]",Perameles nasuta,Long-nosed bandicoot,Not Listed
