SAL_CODE21,SAL_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,SHAPE_Leng,SHAPE_Area
10001,Aarons Pass,1,New South Wales,AUS,Australia,82.7639,http://linked.data.gov.au/dataset/asgsed3/SAL/10001,0.554240905,0.007974706
10002,Abbotsbury,1,New South Wales,AUS,Australia,4.9788,http://linked.data.gov.au/dataset/asgsed3/SAL/10002,0.123050587,0.000485102
10003,Abbotsford (NSW),1,New South Wales,AUS,Australia,1.018,http://linked.data.gov.au/dataset/asgsed3/SAL/10003,0.053422859,9.91575E-05
10004,Abercrombie,1,New South Wales,AUS,Australia,2.9775,http://linked.data.gov.au/dataset/asgsed3/SAL/10004,0.097338212,0.000288549
10005,Abercrombie River,1,New South Wales,AUS,Australia,127.1701,http://linked.data.gov.au/dataset/asgsed3/SAL/10005,0.84890254,0.012397005
10006,Aberdare,1,New South Wales,AUS,Australia,3.2961,http://linked.data.gov.au/dataset/asgsed3/SAL/10006,0.097289685,0.000317463
10007,Aberdeen (NSW),1,New South Wales,AUS,Australia,41.6327,http://linked.data.gov.au/dataset/asgsed3/SAL/10007,0.444264838,0.003980743
10008,Aberfoyle,1,New South Wales,AUS,Australia,340.4792,http://linked.data.gov.au/dataset/asgsed3/SAL/10008,1.307388274,0.031907877
10009,Aberglasslyn,1,New South Wales,AUS,Australia,6.2154,http://linked.data.gov.au/dataset/asgsed3/SAL/10009,0.119584524,0.000597634
10010,Abermain,1,New South Wales,AUS,Australia,15.3822,http://linked.data.gov.au/dataset/asgsed3/SAL/10010,0.228436412,0.001481177
10011,Abernethy,1,New South Wales,AUS,Australia,8.4025,http://linked.data.gov.au/dataset/asgsed3/SAL/10011,0.158941808,0.000809696
10012,Abington (NSW),1,New South Wales,AUS,Australia,174.3142,http://linked.data.gov.au/dataset/asgsed3/SAL/10012,0.77654544,0.016349141
10013,Acacia Creek,1,New South Wales,AUS,Australia,6.261,http://linked.data.gov.au/dataset/asgsed3/SAL/10013,0.12862637,0.000576368
10014,Acacia Gardens,1,New South Wales,AUS,Australia,1.0013,http://linked.data.gov.au/dataset/asgsed3/SAL/10014,0.044557845,9.74073E-05
